name,genre,type,episodes,rating
toaru kagaku no railgun: misaka-san wa ima chuumoku no mato desukara,"Action, Sci-Fi, Super Power",OVA,1,7.56
waga seishun no arcadia: mugen kidou ssx,"Action, Adventure, Drama, Sci-Fi, Space",TV,22,7.56
x,"Action, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",TV,24,7.56
zipang,"Action, Drama, Historical, Military, Sci-Fi, Seinen",TV,26,7.56
akb0048,"Music, Sci-Fi",TV,13,7.55
aoki hagane no arpeggio: ars nova,"Action, Sci-Fi, Seinen",TV,12,7.55
blood lad,"Action, Comedy, Demons, Seinen, Supernatural, Vampire",TV,10,7.55
captain harlock,"Action, Drama, Sci-Fi, Space",Movie,1,7.56
city hunter: hyakuman dollar no inbou,"Action, Comedy, Mystery, Shounen",OVA,1,7.55
code geass: boukoku no akito 4 - nikushimi no kioku kara,"Action, Mecha, Military",Movie,1,7.55
danna ga nani wo itteiru ka wakaranai ken,"Comedy, Seinen, Slice of Life",TV,13,7.55
date a live: date to date,"Comedy, Harem, Romance, School, Sci-Fi",OVA,1,7.55
dragon ball z movie 15: fukkatsu no f,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",Movie,1,7.55
ef: a tale of memories. - recollections,"Drama, Mystery, Romance",Special,1,7.55
fairy tail ova (2016),"Comedy, Ecchi, Fantasy, Magic, Shounen",OVA,3,7.55
full metal panic! the second raid episode 000,"Action, Adventure, Mecha, Military",Special,1,7.55
god eater,"Action, Fantasy, Military, Sci-Fi",TV,13,7.55
gunslinger girl,"Action, Drama, Military, Psychological, Sci-Fi",TV,13,7.55
hi no ame ga furu,"Drama, Historical",Movie,1,7.55
himouto! umaru-chan,"Comedy, School, Seinen, Slice of Life",TV,12,7.55
hokuto no ken zero: kenshirou den,Martial Arts,Movie,1,7.55
joshiraku,"Comedy, Slice of Life",TV,13,7.55
kaichou wa maid-sama!: omake dayo!,"Comedy, School, Shoujo",Special,1,7.55
kaikan phrase,"Drama, Music, Romance, Shoujo",TV,44,7.55
kuroshitsuji ii,"Action, Comedy, Demons, Fantasy, Shounen, Supernatural",TV,12,7.55
lodoss-tou senki,"Action, Adventure, Fantasy, Magic, Shounen, Supernatural",OVA,13,7.55
lupin iii: otakara henkyaku daisakusen!!,"Adventure, Comedy, Shounen",Special,1,7.55
maria-sama ga miteru specials,"Drama, Romance, School, Shoujo, Shoujo Ai, Slice of Life",Special,7,7.55
masuda kousuke gekijou gag manga biyori 2,Comedy,TV,12,7.55
mobile suit gundam seed destiny final plus: the chosen future,"Drama, Mecha, Military, Sci-Fi, Space",OVA,1,7.55
mobile suit gundam unicorn re:0096,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,22,7.56
one piece: romance dawn story,"Action, Comedy, Fantasy, Shounen, Super Power",OVA,1,7.55
"ore no nounai sentakushi ga, gakuen love comedy wo zenryoku de jama shiteiru","Comedy, Romance, School",TV,10,7.55
rahxephon,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",TV,26,7.55
shinryaku!! ika musume,"Comedy, Shounen, Slice of Life",OVA,3,7.55
sunabouzu,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,24,7.55
tegamibachi: hikari to ao no gensou yawa,"Adventure, Fantasy, Shounen, Slice of Life, Supernatural",Special,1,7.55
tonari no seki-kun specials,"Comedy, School, Seinen",Special,2,7.55
true tears,"Drama, Romance, School",TV,13,7.55
&quot;bungaku shoujo&quot; memoire,"Drama, Romance, School",OVA,3,7.54
bobobo-bo bo-bobo,"Adventure, Comedy, Sci-Fi, Shounen",TV,76,7.54
bokura ga ita,"Drama, Romance, Shoujo, Slice of Life",TV,26,7.54
chou denji machine voltes v,"Action, Adventure, Drama, Mecha, Sci-Fi, Shounen",TV,40,7.54
chouyaku hyakuninisshu: uta koi.,"Historical, Josei, Romance",TV,13,7.54
code geass: boukoku no akito 2 - hikisakareshi yokuryuu picture drama,"Action, Comedy, Military",Special,1,7.54
date a live,"Comedy, Harem, Mecha, Romance, School, Sci-Fi",TV,12,7.54
doraemon movie 28: nobita to midori no kyojin den,"Adventure, Comedy, Fantasy, Kids, Shounen",Movie,1,7.54
dragon ball z movie 13: ryuuken bakuhatsu!! goku ga yaraneba dare ga yaru,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",Movie,1,7.54
fairy tail x rave,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",OVA,1,7.54
future gpx cyber formula,"Adventure, Sci-Fi, Shounen, Sports",TV,37,7.54
hime-chan no ribbon,"Comedy, Fantasy, Magic, Romance, School, Shoujo",TV,61,7.54
hokuto no ken: raoh gaiden junai-hen,"Action, Adventure, Martial Arts",Movie,1,7.54
initial d extra stage 2,"Action, Cars, Drama, Seinen, Sports",OVA,1,7.54
karas,"Action, Fantasy, Sci-Fi",OVA,6,7.54
nanatsu no umi no tico,"Adventure, Slice of Life",TV,39,7.54
ookiku furikabutte: natsu no taikai-hen special,"Comedy, Sports",Special,1,7.54
puchi puri yuushi,"Comedy, Fantasy, Magic, Shoujo",TV,26,7.54
saiyuuki reload,"Action, Adventure, Comedy, Drama, Fantasy, Shoujo",TV,25,7.54
shigurui,"Action, Drama, Historical, Martial Arts, Samurai, Seinen",TV,12,7.54
super lovers,"Comedy, Drama, Romance, Shounen Ai, Slice of Life",TV,10,7.54
tamayura: more aggressive,"Comedy, Drama, Slice of Life",TV,12,7.54
tenchi muyou!,"Comedy, Harem, Romance, Sci-Fi, Shounen, Space",TV,26,7.54
tiger &amp; bunny movie 1: the beginning,"Action, Comedy, Mystery, Super Power",Movie,1,7.54
toradora!: bentou no gokui,"Comedy, Romance, School, Slice of Life",Special,1,7.54
vandread: the second stage,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",TV,13,7.54
wangan midnight,"Action, Cars, Seinen, Sports",TV,26,7.54
aoki densetsu shoot!,"Action, Comedy, Drama, Romance, School, Shounen, Sports",TV,58,7.53
ashita no joe 2 (movie),"Drama, Sports",Movie,1,7.53
cowboy bebop: yose atsume blues,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",Special,1,7.53
gundam build fighters try,"Action, Mecha, Sci-Fi",TV,25,7.53
hiyokoi,"Romance, School, Shoujo",Special,1,7.53
hoshi no koe,"Drama, Mecha, Romance, Sci-Fi, Space",OVA,1,7.53
kamisama no inai nichiyoubi,"Fantasy, Mystery",TV,12,7.53
magic knight rayearth,"Adventure, Comedy, Drama, Fantasy, Magic, Mecha, Romance, Shoujo",TV,20,7.53
mayo chiki!,"Comedy, Ecchi, Harem, Romance, School",TV,13,7.53
naruto: shippuuden movie 4 - the lost tower,"Action, Comedy, Martial Arts, Shounen, Super Power",Movie,1,7.53
nitaboh,"Historical, Music",Movie,1,7.53
pale cocoon,"Drama, Sci-Fi",OVA,1,7.53
sankarea,"Comedy, Ecchi, Horror, Romance, Shounen, Supernatural",TV,12,7.53
shimoneta to iu gainen ga sonzai shinai taikutsu na sekai,"Comedy, Ecchi, School",TV,12,7.53
shin chou kyou ryo: condor hero,"Adventure, Drama, Historical, Romance",TV,26,7.53
towa no quon 1: utakata no kaben,"Action, Super Power, Supernatural",Movie,1,7.53
towa no quon 2: konton no ranbu,"Action, Mystery, Super Power, Supernatural",Movie,1,7.53
trinity seven ova,"Action, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Supernatural",OVA,1,7.53
un-go,"Mystery, Supernatural",TV,11,7.53
uta no☆prince-sama♪ maji love 2000%,"Comedy, Harem, Music, Romance, School, Shoujo",TV,13,7.53
vampire knight guilty,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire",TV,13,7.53
whistle!,"School, Shounen, Sports",TV,39,7.53
yomigaeru sora: rescue wings,"Drama, Military, Seinen",TV,12,7.53
yu☆gi☆oh!: the dark side of dimensions,"Adventure, Game, Shounen",Movie,1,7.53
angel densetsu,"Action, Comedy, School",OVA,2,7.52
black cat,"Adventure, Comedy, Sci-Fi, Shounen, Super Power",TV,23,7.52
flanders no inu,"Drama, Historical, Slice of Life",TV,52,7.52
fuse: teppou musume no torimonochou,"Action, Drama, Historical, Supernatural",Movie,1,7.52
future gpx cyber formula 11,"Drama, Sci-Fi, Shounen, Sports",OVA,6,7.52
ghost in the shell: arise - border:3 ghost tears,"Mecha, Police, Psychological, Sci-Fi",Movie,1,7.52
glass no kamen,"Drama, Romance, Shoujo",TV,23,7.52
harmonie,"Drama, School, Supernatural",Movie,1,7.52
kamikaze kaitou jeanne,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo",TV,44,7.52
kanojo to kanojo no neko,"Drama, Psychological, Romance, Slice of Life",OVA,1,7.52
kowarekake no orgel (movie),"Drama, Music, Sci-Fi, Slice of Life",Movie,1,7.52
kure-nai,"Comedy, Drama, Martial Arts",TV,12,7.52
mahou shoujo lyrical nanoha,"Action, Comedy, Drama, Magic, Super Power",TV,13,7.52
monster musume no iru nichijou ova,"Comedy, Ecchi, Fantasy, Harem, Romance, Seinen",OVA,2,7.52
nanatsu no taizai: seisen no shirushi,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,4,7.52
nijiiro days,"Comedy, Romance, School, Shoujo, Slice of Life",TV,24,7.52
ojamajo doremi dokkaan!,"Comedy, Magic, Shoujo",TV,51,7.52
oruchuban ebichu,"Comedy, Ecchi, Seinen",TV,24,7.52
otona joshi no anime time,"Drama, Josei, Slice of Life",Special,4,7.52
outbreak company,"Comedy, Fantasy, Harem, Parody",TV,12,7.52
persona 4 the animation: the factor of hope,"Adventure, Mystery, School, Super Power, Supernatural",Movie,1,7.52
pokemon xy,"Action, Adventure, Comedy, Fantasy, Kids",TV,93,7.52
ranma ½: kessen tougenkyou! hanayome wo torimodose!,"Adventure, Comedy, Shounen",Movie,1,7.52
sayonara zetsubou sensei jo: zetsubou shoujo senshuu,"Comedy, Parody, School",Special,1,7.52
scrapped princess,"Adventure, Comedy, Drama, Fantasy, Mecha, Sci-Fi, Shounen",TV,24,7.52
seitokai no ichizon,"Comedy, Harem, Parody, School",TV,12,7.52
selector spread wixoss,"Game, Psychological",TV,12,7.52
slayers evolution-r,"Adventure, Comedy, Fantasy",TV,13,7.52
taiho shichau zo: second season,"Action, Comedy, Police, Shounen",TV,26,7.52
tales of zestiria: doushi no yoake,Fantasy,Special,1,7.52
tenchi muyou! in love,"Action, Comedy, Romance, School, Sci-Fi, Shounen, Space",Movie,1,7.52
tokyo ghoul √a,"Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural",TV,12,7.52
yu☆gi☆oh! 5d&#039;s,"Action, Game, Shounen",TV,154,7.52
yuuki yuuna wa yuusha de aru,"Drama, Fantasy, Magic, Slice of Life",TV,12,7.52
ajin part 2: shoutotsu,"Action, Horror, Mystery, Seinen, Supernatural",Movie,1,7.51
busou renkin,"Action, Comedy, Fantasy, School, Shounen, Supernatural",TV,26,7.51
city hunter: bay city wars,"Action, Comedy, Mystery, Shounen",Movie,1,7.51
detective conan bonus file: fantasista flower,"Comedy, Mystery, Police, Shounen, Sports",OVA,1,7.51
detective conan ova 11: a secret order from london,"Adventure, Comedy, Mystery, Police, Shounen",OVA,1,7.51
doraemon movie 05: nobita no makai daibouken,Fantasy,Movie,1,7.51
garo: honoo no kokuin,"Action, Demons, Fantasy, Magic, Supernatural",TV,24,7.51
hidamari sketch,"Comedy, School, Slice of Life",TV,12,7.51
honoo no toukyuuji: dodge danpei,"Comedy, Sports",TV,47,7.51
joshiraku ova,"Comedy, Slice of Life",OVA,1,7.51
kamichama karin,"Comedy, Fantasy, Magic, Romance, School, Shoujo",TV,26,7.51
kamichu!,"Comedy, Drama, Slice of Life, Supernatural",TV,12,7.51
little nemo,"Adventure, Fantasy",Movie,1,7.51
maria-sama ga miteru 3rd specials,Comedy,Special,5,7.51
maria-sama ga miteru: haru specials,"Drama, Romance, School, Shoujo, Shoujo Ai, Slice of Life",Special,6,7.51
mirai nikki,"Action, Shounen, Supernatural",OVA,1,7.51
moonlight mile 2nd season: touch down,"Adventure, Drama, Sci-Fi, Space",TV,14,7.51
neon genesis evangelion: death &amp; rebirth,"Drama, Mecha, Psychological, Sci-Fi",Movie,1,7.51
oban star-racers,"Adventure, Mecha, Sci-Fi, Shounen",TV,26,7.51
papa no iukoto wo kikinasai!,"Comedy, Romance, Slice of Life",TV,12,7.51
raiyantsuuri no uta,"Drama, Historical",Movie,1,7.51
rurouni kenshin special,"Action, Historical, Romance, Samurai",Special,1,7.51
sakigake!! otokojuku,"Action, Comedy, Martial Arts, School, Shounen",TV,34,7.51
sentou mecha xabungle,"Mecha, Military, Sci-Fi, Shounen",TV,50,7.51
shin chou kyou ryo: condor hero ii,"Adventure, Drama, Historical, Romance",TV,26,7.51
taiho shichau zo,"Action, Comedy, Police, Seinen",OVA,4,7.51
to love-ru ova,"Comedy, Ecchi, Harem, School, Sci-Fi, Shounen",OVA,6,7.51
winter sonata,"Drama, Romance",TV,26,7.51
www.working!!,"Comedy, Slice of Life",TV,13,7.51
yama no susume second season,"Adventure, Comedy, Slice of Life",TV,24,7.51
another: the other - inga,"Horror, Mystery, Thriller",OVA,1,7.5
bartender,"Drama, Seinen, Slice of Life",TV,11,7.5
cheburashka,Comedy,Movie,1,7.5
chi&#039;s sweet home ova,"Comedy, Kids, Slice of Life",OVA,1,7.5
cinderella monogatari,"Adventure, Fantasy, Kids, Romance",TV,26,7.5
date a live ii,"Comedy, Harem, Mecha, Romance, School, Sci-Fi",TV,10,7.5
dotto koni-chan,Comedy,TV,26,7.5
fullmetal alchemist: the sacred star of milos,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",Movie,1,7.5
gangsta.,"Action, Drama, Seinen",TV,12,7.5
gatchaman crowds: embrace,"Adventure, Sci-Fi",Special,1,7.5
ghost in the shell: stand alone complex - tachikoma na hibi (tv),"Comedy, Mecha, Sci-Fi",TV,12,7.5
hadashi no gen 2,"Drama, Historical, Shounen",Movie,1,7.5
hetalia: the world twinkle specials,"Comedy, Historical, Parody",Special,3,7.5
hibike! euphonium: kakedasu monaka,"Drama, Music, School",Special,1,7.5
karakuri zoushi ayatsuri sakon,"Horror, Mystery, Thriller",TV,26,7.5
kaze no stigma,"Action, Fantasy, Magic, Romance, Shounen",TV,24,7.5
kindaichi shounen no jikenbo returns 2nd season,"Mystery, Shounen",TV,22,7.5
kono bijutsubu ni wa mondai ga aru!,"Comedy, Romance, School",TV,12,7.5
lupin iii: part iii,"Action, Adventure, Comedy, Shounen",TV,50,7.5
mardock scramble: the second combustion,"Action, Psychological, Sci-Fi",Movie,1,7.5
marmalade boy movie,"Romance, Shoujo",Movie,1,7.5
mnemosyne: mnemosyne no musume-tachi,"Action, Horror, Sci-Fi, Shoujo Ai, Supernatural",TV,6,7.5
naruto: shippuuden movie 3 - hi no ishi wo tsugu mono,"Action, Comedy, Martial Arts, Shounen, Super Power",Movie,1,7.5
nisekoi:,"Comedy, Harem, Romance, School, Shounen",TV,12,7.5
nodame cantabile special,"Comedy, Josei, Romance, Slice of Life",Special,1,7.5
one piece: adventure of nebulandia,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",Special,1,7.5
ranma ½: chou musabetsu kessen! ranma team vs. densetsu no houou,"Action, Adventure, Comedy, Martial Arts, Shounen, Supernatural",Movie,1,7.5
sakasama no patema: beginning of the day,Sci-Fi,Special,4,7.5
seikai no senki special,"Action, Military, Romance, Sci-Fi, Space",Special,1,7.5
tengen toppa gurren lagann movie: lagann-hen special - viral no amai yume,Comedy,OVA,1,7.5
uchuu show e youkoso,"Adventure, Fantasy, Space",Movie,1,7.5
yuu☆yuu☆hakusho: eizou hakusho ii,"Action, Adventure, Comedy, Shounen, Supernatural",OVA,4,7.5
baka to test to shoukanjuu specials,"Comedy, Magic, School",Special,6,7.49
ben-to,"Action, Comedy, Martial Arts",TV,12,7.49
danganronpa: kibou no gakuen to zetsubou no koukousei the animation,"Action, Horror, Mystery, Psychological",TV,13,7.49
danna ga nani wo itteiru ka wakaranai ken 2 sure-me,"Comedy, Seinen, Slice of Life",TV,13,7.49
doraemon,"Adventure, Comedy, Fantasy, Kids, Shounen",TV,26,7.49
fairy tail movie 1: houou no miko - hajimari no asa,"Fantasy, Magic, Shounen",Special,1,7.49
inazuma eleven: saikyou gundan ogre shuurai,"Shounen, Sports, Super Power",Movie,1,7.49
kaze no shoujo emily,"Drama, Historical, Shoujo",TV,26,7.49
kowarekake no orgel,"Drama, Music, Sci-Fi, Slice of Life",OVA,1,7.49
love lab,"Comedy, Romance, School",TV,13,7.49
love live! school idol project 2nd season recap,"Music, School, Slice of Life",OVA,1,7.5
mai-otome 0: s.ifr,Sci-Fi,OVA,3,7.49
maison ikkoku: kanketsu-hen,"Comedy, Drama, Romance",Movie,1,7.49
mazinger z,"Action, Drama, Mecha, Sci-Fi, Shounen",TV,92,7.49
one piece: mamore! saigo no dai butai,"Adventure, Comedy, Fantasy, Shounen",Special,1,7.49
ore no imouto ga konnani kawaii wake ga nai,"Comedy, Seinen, Slice of Life",TV,12,7.49
pandora hearts specials,Comedy,Special,9,7.49
qin shiming yue zhi: zhu zi bai jia,"Action, Fantasy, Historical, Martial Arts",TV,34,7.49
saki zenkoku-hen,"Game, School, Slice of Life",TV,13,7.49
sakurako-san no ashimoto ni wa shitai ga umatteiru,Mystery,TV,12,7.49
senyuu.,"Action, Comedy, Fantasy, Parody, Shounen",TV,13,7.49
shakugan no shana s,"Action, Drama, Fantasy, Romance, School, Supernatural",OVA,4,7.49
soukou kihei votoms: red shoulder document - yabou no roots,"Drama, Mecha, Military, Sci-Fi",OVA,1,7.49
soukyuu no fafner: right of left - single program,"Action, Drama, Mecha, Military, Sci-Fi",Special,1,7.49
strike witches: operation victory arrow,"Action, Ecchi, Magic, Military, Sci-Fi",OVA,3,7.49
"tamayura: more aggressive - tsuitachi dake no shuugakuryokou, nanode","Comedy, Drama, Slice of Life",Special,1,7.49
tenchi muyou! ryououki: omatsuri zenjitsu no yoru!,"Comedy, Harem, Romance, Sci-Fi, Shounen",OVA,1,7.49
tibet inu monogatari,Adventure,Movie,1,7.49
time travel tondekeman!,"Action, Adventure, Comedy, Kids",TV,39,7.49
uchuu no stellvia,"Action, Romance, Sci-Fi, Space",TV,26,7.49
yokoyama mitsuteru sangokushi,"Adventure, Historical",TV,47,7.49
yowamushi pedal: special ride,"Comedy, Drama, Shounen, Sports",OVA,1,7.49
ai no wakakusa monogatari,"Drama, Historical, Slice of Life",TV,48,7.48
air,"Drama, Romance, Slice of Life, Supernatural",TV,13,7.48
akazukin chacha,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",TV,74,7.48
carnival phantasm: hibichika special,"Comedy, Supernatural",Special,1,7.48
crayon shin-chan movie 10: arashi wo yobu appare! sengoku daikassen,"Drama, Historical, Kids, Romance, Samurai",Movie,1,7.48
deadman wonderland,"Action, Horror, Sci-Fi",TV,12,7.48
gensoumaden saiyuuki movie: requiem - erabarezaru mono e no chinkonka,"Adventure, Shounen, Supernatural",Movie,1,7.48
ginban kaleidoscope,"Drama, Romance, Sports",TV,12,7.48
gj-bu,"Comedy, School, Slice of Life",TV,12,7.48
gokusen,"Comedy, Drama, Josei, School, Slice of Life",TV,13,7.48
happy birthday: inochi kagayaku toki,"Drama, Kids, Slice of Life",Movie,1,7.48
honobono log,"Romance, Slice of Life",TV,10,7.48
huyao xiao hongniang,"Comedy, Romance",ONA,13,7.48
ikoku meiro no croisée the animation,"Historical, Seinen, Slice of Life",TV,12,7.48
initial d extra stage,"Action, Cars, Drama, Seinen, Sports",OVA,2,7.48
keroro gunsou movie 2: shinkai no princess de arimasu!,"Action, Adventure, Comedy, Drama, Sci-Fi, Shounen",Movie,1,7.48
kimikiss pure rouge,"Drama, Romance, School",TV,24,7.48
little busters!: sekai no saitou wa ore ga mamoru!,"Comedy, School, Slice of Life",OVA,1,7.48
lupin iii: kutabare! nostradamus,"Action, Adventure, Comedy, Shounen",Movie,1,7.48
maria-sama ga miteru,"Drama, Romance, Shoujo, Shoujo Ai, Slice of Life",TV,13,7.48
prince of tennis: a day on survival mountain,"Adventure, Comedy, Shounen, Sports",OVA,1,7.48
re:␣hamatora,"Comedy, Mystery, Super Power",TV,12,7.48
ristorante paradiso,"Drama, Josei, Romance, Slice of Life",TV,11,7.48
seitokai no ichizon lv.2,"Comedy, Harem, Parody, School",ONA,10,7.48
"sengoku basara two: ryuko, itadaki no chikai! atsuki mirai e kakeru tamashii!!","Action, Historical, Samurai",Special,1,7.47
shigofumi special,"Drama, Fantasy, Psychological, Thriller",Special,1,7.48
shin getter robo,"Action, Adventure, Demons, Horror, Mecha, Sci-Fi, Shounen",OVA,13,7.48
soredemo machi wa mawatteiru,"Comedy, Slice of Life",TV,12,7.48
tokimeki tonight,"Comedy, Fantasy, Romance, Shoujo, Vampire",TV,34,7.48
yankee-kun na yamada-kun to megane-chan to majo,"Comedy, School, Shounen",Special,1,7.48
youkai watch movie 1: tanjou no himitsu da nyan!,"Comedy, Kids, Supernatural",Movie,1,7.48
yowamushi pedal: re:ride,"Drama, Shounen, Sports",Movie,1,7.48
yowamushi pedal: re:road,"Drama, Shounen, Sports",Movie,1,7.48
yuu☆yuu☆hakusho: eizou hakusho,"Action, Adventure, Shounen, Supernatural",OVA,2,7.48
zoids,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,67,7.48
air in summer,"Comedy, Drama, Historical, Romance, Supernatural",Special,2,7.47
appleseed saga ex machina,"Action, Mecha, Military, Sci-Fi",Movie,1,7.47
asura cryin&#039; 2,"Action, Mecha, Supernatural",TV,13,7.47
cross ange: tenshi to ryuu no rondo,"Action, Mecha, Sci-Fi",TV,25,7.47
d-frag! ova,"Comedy, Game, Seinen",OVA,1,7.47
detective conan magic file 5: niigata - tokyo omiyage capriccio,"Adventure, Comedy, Mystery, Police, Shounen",OVA,1,7.47
doraemon movie 25: nobita no wan nyan jikuuden,"Adventure, Comedy, Kids, Sci-Fi",Movie,1,7.47
doraemon movie 33: nobita no himitsu dougu museum,"Adventure, Comedy, Fantasy, Kids, Shounen",Movie,1,7.47
fate/kaleid liner prisma☆illya 2wei!,"Action, Comedy, Fantasy, Magic",TV,10,7.47
futatsu no spica,"Drama, School, Sci-Fi, Supernatural",TV,20,7.47
gatchaman crowds,"Adventure, Sci-Fi",TV,12,7.47
gatchaman crowds insight,"Adventure, Sci-Fi",TV,12,7.47
grisaia no meikyuu special,Ecchi,Special,1,7.47
hakushaku to yousei,"Adventure, Fantasy, Historical, Magic",TV,12,7.47
hana to alice: satsujin jiken,"Drama, Mystery, Slice of Life",Movie,1,7.47
"hetalia axis powers movie: paint it, white","Comedy, Historical, Parody",Movie,1,7.47
high school dxd ova,"Comedy, Demons, Ecchi, Romance, School",OVA,2,7.47
hitsugi no chaika,"Action, Adventure, Comedy, Fantasy, Romance, Shounen",TV,12,7.47
jojo no kimyou na bouken,"Adventure, Drama, Fantasy, Horror, Shounen, Supernatural, Vampire",OVA,6,7.47
kuroko no basket: oshaberi demo shimasen ka,"Comedy, School, Shounen, Sports",Special,1,7.47
legend of basara,"Adventure, Drama, Romance, Shoujo",TV,13,7.47
legendz: yomigaeru ryuuou densetsu,"Action, Adventure, Comedy, Fantasy",TV,50,7.47
lupin iii: walther p-38,"Action, Adventure, Comedy, Mystery, Shounen",Special,1,7.47
macross f music clip shuu: nyankuri,Music,Music,1,7.47
mazinkaiser,"Adventure, Comedy, Mecha, Sci-Fi, Shounen",OVA,7,7.47
mei to koneko bus,"Adventure, Fantasy",Special,1,7.47
minami-ke omatase,"Comedy, Slice of Life",OVA,1,7.47
mobile suit gundam 0083: stardust memory,"Adventure, Drama, Mecha, Military, Sci-Fi, Space",OVA,13,7.47
mushibugyou,"Action, Fantasy, Historical, Martial Arts, Samurai, Shounen, Super Power",TV,26,7.47
nerima daikon brothers,"Comedy, Music",TV,12,7.47
ookami shoujo to kuro ouji,"Comedy, Romance, School, Shoujo",TV,12,7.47
precure all stars movie new stage 3: eien no tomodachi,"Kids, Magic, Shoujo",Movie,1,7.47
"prince of tennis: the two samurai, the first game","Action, Shounen, Sports",Movie,1,7.47
saiyuuki gaiden: tokubetsu-hen - kouga no shou,"Adventure, Drama, Fantasy, Shoujo",OVA,1,7.47
shinrei tantei yakumo,"Horror, Mystery, Shoujo, Supernatural",TV,13,7.47
sketchbook: full color&#039;s,"Comedy, Slice of Life",TV,13,7.47
slam dunk (movie),"Comedy, Drama, School, Shounen, Slice of Life, Sports",Movie,1,7.47
slayers special,"Adventure, Comedy, Fantasy, Magic, Shounen, Supernatural",OVA,3,7.47
space pirate captain herlock: outside legend - the endless odyssey,"Action, Adventure, Drama, Sci-Fi, Seinen, Space",OVA,13,7.47
tales of the abyss,"Adventure, Drama, Fantasy",TV,26,7.47
tengen toppa gurren lagann: mitee mono wa miteen da!!,"Action, Adventure, Comedy, Mecha, Sci-Fi",Special,1,7.47
tonari no seki-kun ova,"Comedy, School, Seinen",OVA,1,7.47
toshokan sensou: koi no shougai,"Action, Comedy, Drama, Military, Romance",Special,1,7.47
wagamama☆fairy mirumo de pon!,"Adventure, Comedy, Drama, Fantasy, Kids, Magic, Romance, School, Shoujo",TV,172,7.47
yozakura quartet: hoshi no umi,"Action, Comedy, Magic, Shounen, Super Power, Supernatural",OVA,3,7.47
zegapain,"Action, Mecha, Romance, Sci-Fi",TV,26,7.47
zettai karen children,"Action, Comedy, Shounen, Supernatural",TV,51,7.47
zutto mae kara suki deshita.: kokuhaku jikkou iinkai,"Romance, School",Movie,1,7.47
afro samurai: resurrection,"Action, Adventure, Samurai",Movie,1,7.46
cardcaptor sakura: leave it to kero-chan,Comedy,Movie,1,7.46
chiisana pengin: lolo no bouken,"Adventure, Drama, Fantasy, Kids, Slice of Life",OVA,3,7.46
dogs: bullets &amp; carnage,"Action, Seinen",OVA,4,7.46
doraemon movie 07: nobita to tetsujin heidan,"Adventure, Comedy, Fantasy, Kids, Shounen",Movie,1,7.46
doraemon movie 15: nobita to mugen sankenshi,"Adventure, Fantasy, Kids, Sci-Fi, Shounen",Movie,1,7.46
final fantasy vii: last order,"Action, Adventure, Drama, Fantasy, Sci-Fi",OVA,1,7.46
fukigen na mononokean,"Comedy, Supernatural",TV,13,7.46
grappler baki: saidai tournament-hen,"Action, Martial Arts, Shounen, Sports",TV,24,7.46
handa-kun,"Comedy, Shounen, Slice of Life",TV,12,7.46
hentai ouji to warawanai neko.,"Comedy, Harem, Romance, School, Seinen, Supernatural",TV,12,7.46
highschool of the dead,"Action, Ecchi, Horror, Supernatural",TV,12,7.46
higurashi no naku koro ni kai specials,"Comedy, Parody",Special,24,7.46
kurau phantom memory,"Action, Drama, Sci-Fi, Space, Super Power",TV,24,7.46
mahou sensei negima! mou hitotsu no sekai extra: mahou shoujo yue,"Action, Adventure, Ecchi, Fantasy, Magic, School, Shounen",OVA,1,7.46
meitantei holmes,"Adventure, Comedy, Mystery",TV,26,7.46
miracle giants doumu-kun,Sports,TV,49,7.46
mobile police patlabor,"Comedy, Mecha, Police, Sci-Fi",OVA,7,7.46
mobile suit gundam seed special edition,"Action, Mecha, Military, Sci-Fi, Space",Special,3,7.46
nekojiru-sou,"Comedy, Dementia, Psychological",OVA,1,7.46
one piece movie 7: karakuri-jou no mecha kyohei,"Adventure, Comedy, Fantasy, Shounen",Movie,1,7.46
pokemon: maboroshi no pokemon lugia bakutan,"Adventure, Comedy, Drama, Fantasy, Kids",Movie,1,7.46
prince of tennis: pairpuri,"Comedy, Drama, Shounen, Sports",Special,8,7.46
rec,"Comedy, Drama, Romance",TV,9,7.46
rurouni kenshin recap,"Action, Adventure, Comedy, Historical, Romance, Samurai",Special,1,7.46
